start,end,all_day,category,title,location,source,source_priority,url,score,matched_date
2026-07-16T00:00:00+08:00,2026-07-17T00:00:00+08:00,True,新能源汽车,智己 LS9 Hyper 汽车上市发布会（具体时间待定）,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4401&noapp=1,9,07月16日 00:00
2026-07-16T00:00:00+08:00,2026-07-17T00:00:00+08:00,True,科技数码,广汽集团 3000 万用户感恩活动（具体时间待定）,线上,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=4375&noapp=1,9,07月16日 00:00
2026-07-22T00:00:00+08:00,2026-07-23T00:00:00+08:00,True,科技数码,AMD Advancing AI 2026（具体时间待定）,美国 加利福尼亚州 旧金山,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=3936&noapp=1,9,07月22日 00:00
2026-07-22T19:00:00+08:00,2026-07-23T19:00:00+08:00,True,手机新品,三星官方暗示 Galaxy Unpacked 发布会定档 7 月 22 日，Z Fold8 等新品将至,线上,新浪网,50,https://news.google.com/rss/articles/CBMijgFBVV95cUxPLUFQTTBFVlJzNXp1UjhkTHhDdHhyd1NnTUxhNUxvNU01VmZWSi1vSC1ubmI0Nm9MbndJZXc1TlcwS3R0Z1R1dWZ1Q2xmX0w3cGJtYVZEU2xWMERONVY5UzV5cmRrOG5DTDNvd1RUVkdEcEMzX0pjeTNtNVZVRE13Slc1VzVNVnFYeXhQSUxn?oc=5,7,7月22日
2026-07-29T00:00:00+08:00,2026-07-30T00:00:00+08:00,True,科技数码,MG 07 开启预售（具体时间待定）,线上,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=4410&noapp=1,9,07月29日 00:00
2026-07-31T00:00:00+08:00,2026-08-03T00:00:00+08:00,True,科技数码,第二届中国国际游戏开发者大会（CGDC）（具体时间待定）,上海浦东嘉里酒店,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=4395&noapp=1,9,07月31日 00:00
2026-08-01T00:00:00+08:00,2026-08-02T00:00:00+08:00,True,新能源汽车,北京越野 BJ81 正式上市（具体时间待定）,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=4060&noapp=1,9,08月01日 00:00
2026-08-12T00:00:00+08:00,2026-08-13T00:00:00+08:00,True,新能源汽车,2026 款 smart 精灵#1 BRABUS 性能版亮相（具体时间待定）,线上,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=3010&noapp=1,9,08月12日 00:00
2026-08-13T00:00:00+08:00,2026-08-14T00:00:00+08:00,True,科技数码,《DOTA2》TI15 小组赛（具体时间待定）,上海,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=3207&noapp=1,9,08月13日 00:00
2026-08-20T00:00:00+08:00,2026-08-21T00:00:00+08:00,True,科技数码,《DOTA2》TI15 主赛事（具体时间待定）,上海,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=3208&noapp=1,9,08月20日 00:00
2026-08-26T00:00:00+08:00,2026-08-27T00:00:00+08:00,True,科技数码,gamescom 2026 科隆游戏展（具体时间待定）,德国科隆,@微醺kkkkk,90,https://img.ithome.com/app/calendar/event_detail.html?id=3093&noapp=1,9,08月26日 00:00
2026-08-28T00:00:00+08:00,2026-08-29T00:00:00+08:00,True,新能源汽车,2026 款岚图知音 SUV 上市（具体时间待定）,线上,@微醺kkkkk,100,https://img.ithome.com/app/calendar/event_detail.html?id=3088&noapp=1,9,08月28日 00:00
